Year,Units,Area of spending category,Unit measure,Value
2007,Percentage of GDP,Health,Percentage (%),5.229606432
2008,Percentage of GDP,Health,Percentage (%),5.178706865
2009,Percentage of GDP,Health,Percentage (%),5.35763201
2010,Percentage of GDP,Health,Percentage (%),5.624273922
2011,Percentage of GDP,Health,Percentage (%),5.720330187
2012,Percentage of GDP,Health,Percentage (%),5.800435424
2013,Percentage of GDP,Health,Percentage (%),5.772160151
2014,Percentage of GDP,Health,Percentage (%),5.518476732
2015,Percentage of GDP,Health,Percentage (%),5.287429555
2016,Percentage of GDP,Health,Percentage (%),5.223441902
2017,Percentage of GDP,Health,Percentage (%),4.942988182
2018,Percentage of GDP,Health,Percentage (%),5.214142656
2000,Percentage of GDP,Social protection,Percentage (%),12.3916725
2001,Percentage of GDP,Social protection,Percentage (%),13.01835159
2002,Percentage of GDP,Social protection,Percentage (%),13.14213047
2003,Percentage of GDP,Social protection,Percentage (%),13.09445649
2004,Percentage of GDP,Social protection,Percentage (%),13.19099203
2005,Percentage of GDP,Social protection,Percentage (%),13.15216176
2006,Percentage of GDP,Social protection,Percentage (%),13.26530204
2007,Percentage of GDP,Social protection,Percentage (%),13.38040048
2008,Percentage of GDP,Social protection,Percentage (%),13.30943813
2009,Percentage of GDP,Social protection,Percentage (%),14.18223944
2010,Percentage of GDP,Social protection,Percentage (%),13.72799837
2011,Percentage of GDP,Social protection,Percentage (%),13.81252921
2012,Percentage of GDP,Social protection,Percentage (%),14.02289711
2013,Percentage of GDP,Social protection,Percentage (%),13.78908145
2014,Percentage of GDP,Social protection,Percentage (%),13.05196041
2015,Percentage of GDP,Social protection,Percentage (%),11.9722805
2016,Percentage of GDP,Social protection,Percentage (%),11.61089071
2017,Percentage of GDP,Social protection,Percentage (%),11.33647774
2018,Percentage of GDP,Social protection,Percentage (%),10.91528081
2000,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),52.14364816
2001,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),52.9444887
2002,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),56.16981944
2003,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),53.85970475
2004,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),57.49148475
2005,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),58.20157227
2006,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),58.53738283
2007,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),58.56218838
2008,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),55.71511929
2009,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),58.91258121
2010,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),59.92648229
2011,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),60.49969249
2012,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),59.28613224
2013,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),60.18421745
2014,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),59.06733827
2015,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),57.62683519
2016,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),60.78705249
2017,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),60.46046782
2018,Percentage of Government Expenditure,Total spending on essential services,Percentage (%),58.56856823
2000,Percentage of Government Expenditure,Education,Percentage (%),11.1016371
2001,Percentage of Government Expenditure,Education,Percentage (%),10.87745692
2002,Percentage of Government Expenditure,Education,Percentage (%),12.49018078
2003,Percentage of Government Expenditure,Education,Percentage (%),12.17296187
2004,Percentage of Government Expenditure,Education,Percentage (%),13.34086497
2005,Percentage of Government Expenditure,Education,Percentage (%),14.22812867
2006,Percentage of Government Expenditure,Education,Percentage (%),14.28439609
2007,Percentage of Government Expenditure,Education,Percentage (%),13.32560453
2008,Percentage of Government Expenditure,Education,Percentage (%),12.34969996
2009,Percentage of Government Expenditure,Education,Percentage (%),12.25371822
2010,Percentage of Government Expenditure,Education,Percentage (%),12.79548706
2011,Percentage of Government Expenditure,Education,Percentage (%),13.13784341
2012,Percentage of Government Expenditure,Education,Percentage (%),12.90082895
2013,Percentage of Government Expenditure,Education,Percentage (%),13.55400529
2014,Percentage of Government Expenditure,Education,Percentage (%),13.85418588
2015,Percentage of Government Expenditure,Education,Percentage (%),14.10899342
2016,Percentage of Government Expenditure,Education,Percentage (%),14.75688827
2017,Percentage of Government Expenditure,Education,Percentage (%),15.14619486
2018,Percentage of Government Expenditure,Education,Percentage (%),14.58393848
2000,Percentage of Government Expenditure,Health,Percentage (%),12.03321233
2001,Percentage of Government Expenditure,Health,Percentage (%),12.77316384
2002,Percentage of Government Expenditure,Health,Percentage (%),13.44751227
2003,Percentage of Government Expenditure,Health,Percentage (%),12.92438785
2004,Percentage of Government Expenditure,Health,Percentage (%),13.02393301
2005,Percentage of Government Expenditure,Health,Percentage (%),12.79314943
2006,Percentage of Government Expenditure,Health,Percentage (%),12.90974622
2007,Percentage of Government Expenditure,Health,Percentage (%),12.71195282
2008,Percentage of Government Expenditure,Health,Percentage (%),12.14707018
2009,Percentage of Government Expenditure,Health,Percentage (%),12.79338088
2010,Percentage of Government Expenditure,Health,Percentage (%),13.69749368
2011,Percentage of Government Expenditure,Health,Percentage (%),13.87023833
2012,Percentage of Government Expenditure,Health,Percentage (%),13.57264001
2013,Percentage of Government Expenditure,Health,Percentage (%),13.75971209
2014,Percentage of Government Expenditure,Health,Percentage (%),13.43574885
2015,Percentage of Government Expenditure,Health,Percentage (%),13.33148251
2016,Percentage of Government Expenditure,Health,Percentage (%),14.28247226
2017,Percentage of Government Expenditure,Health,Percentage (%),13.75892285
2018,Percentage of Government Expenditure,Health,Percentage (%),14.21886744
2000,Percentage of Government Expenditure,Social protection,Percentage (%),29.00879873
2001,Percentage of Government Expenditure,Social protection,Percentage (%),29.29386795
2002,Percentage of Government Expenditure,Social protection,Percentage (%),30.23212639
2003,Percentage of Government Expenditure,Social protection,Percentage (%),28.76235503
2004,Percentage of Government Expenditure,Social protection,Percentage (%),31.12668678
2005,Percentage of Government Expenditure,Social protection,Percentage (%),31.18029418
2006,Percentage of Government Expenditure,Social protection,Percentage (%),31.34324052
2007,Percentage of Government Expenditure,Social protection,Percentage (%),32.52463103
2008,Percentage of Government Expenditure,Social protection,Percentage (%),31.21834915
2009,Percentage of Government Expenditure,Social protection,Percentage (%),33.86548211
2010,Percentage of Government Expenditure,Social protection,Percentage (%),33.43350155
2011,Percentage of Government Expenditure,Social protection,Percentage (%),33.49161075
2012,Percentage of Government Expenditure,Social protection,Percentage (%),32.81266328
2013,Percentage of Government Expenditure,Social protection,Percentage (%),32.87050007
2014,Percentage of Government Expenditure,Social protection,Percentage (%),31.77740354
2015,Percentage of Government Expenditure,Social protection,Percentage (%),30.18635926
2016,Percentage of Government Expenditure,Social protection,Percentage (%),31.74769196
2017,Percentage of Government Expenditure,Social protection,Percentage (%),31.55535011
2018,Percentage of Government Expenditure,Social protection,Percentage (%),29.76576231
