SeriesDescription,GeoAreaCode,TimePeriod,Value,Time_Detail,BasePeriod,Age,Location,Sex
Proportion of population below international poverty line (%),470,2017,0.15989,2017,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2017,0.15324,2017,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2017,0.16634,2017,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2017,0.2,2017,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2018,0.1,2018,2017,ALLAGE,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2018,0,2018,2017,<15Y,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2018,0.22741,2018,2017,15-64,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2018,0.15955,2018,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2018,0.1095,2018,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2018,0.25454,2018,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2018,0.18375,2018,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2019,0.34974,2019,2017,65+,ALLAREA,BOTHSEX
Proportion of population below international poverty line (%),470,2019,0.2019,2019,2017,ALLAGE,ALLAREA,FEMALE
Proportion of population below international poverty line (%),470,2019,0.34974,2019,2017,ALLAGE,URBAN,BOTHSEX
Proportion of population below international poverty line (%),470,2019,0.48748,2019,2017,ALLAGE,ALLAREA,MALE
Proportion of population below international poverty line (%),470,2019,0.3,2019,2017,ALLAGE,ALLAREA,BOTHSEX
