Year,Variable,Category,Unit of measure,Value
2017,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),13.5
2018,Proportion of people living below 50 per cent of median income,Less than 18 years,Percentage (%),13.3
2005,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),5.8
2006,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),6.0
2007,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),6.7
2008,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),6.9
2009,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),5.8
2010,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),7.0
2011,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),7.0
2012,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),6.4
2013,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),7.5
2014,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),7.1
2015,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),7.1
2016,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),6.6
2017,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),7.0
2018,Proportion of people living below 50 per cent of median income,From 18 to 64 years ,Percentage (%),7.7
2005,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),11.5
2006,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),11.6
2007,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),10.6
2008,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),12.4
2009,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),9.2
2010,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),9.5
2011,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),9.7
2012,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),9.0
2013,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),6.8
2014,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),5.8
2015,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),8.4
2016,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),8.9
2017,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),9.3
2018,Proportion of people living below 50 per cent of median income,65 years and over ,Percentage (%),8.3
